Deal Name,Region,Amount,Stage,Close Date,Status
Helix Financial,North America,480000,Proposal,2026-07-12,On Track
Nova Logistics,North America,310000,Final Round,2026-07-05,At Risk
Cedarwood Health,North America,290000,Negotiation,2026-07-20,On Track
Apex Manufacturing,North America,260000,Proposal,2026-07-31,In Review
Stratos Capital,Europe,240000,Demo,2026-08-08,Early Stage
Meridian Retail Group,Europe,195000,Closed Won,2026-06-28,Closed
Ironbridge Logistics,North America,320000,Closed Won,2026-06-14,Closed
Paxwell Insurance,North America,142000,Closed Won,2026-05-30,Closed
Vantara Energy,Europe,185000,Closed Won,2026-06-21,Closed
Solace Healthcare,Asia-Pacific,210000,Closed Won,2026-06-07,Closed
Brightline Media,North America,98000,Closed Won,2026-04-18,Closed
Crestwood Partners,Latin America,76000,Closed Won,2026-05-12,Closed
Nexway Financial,Asia-Pacific,155000,Closed Won,2026-04-25,Closed
Thornfield Supply,Europe,220000,Closed Won,2026-06-30,Closed
Orion BioSciences,North America,340000,Closed Won,2026-06-26,Closed
