Role,Department,Days Open,Target Close,Priority,Status
Account Executive,Sales,34,2026-07-31,Critical,Urgent
Account Executive,Sales,31,2026-07-31,Critical,Urgent
Account Executive,Sales,37,2026-07-31,Critical,Urgent
Sr. Account Executive,Sales,28,2026-07-31,Critical,Urgent
CS Manager APAC,Customer Success,61,2026-08-15,High,Blocked
Sr. Backend Engineer,Engineering,45,2026-07-15,High,In Progress
Solutions Engineer,Sales,15,2026-08-15,High,In Progress
DevOps Engineer,Operations,38,2026-08-01,Medium,In Progress
Revenue Ops Analyst,Sales,22,2026-08-15,Medium,In Progress
Customer Success Manager,Customer Success,8,2026-08-31,Medium,In Progress
Product Marketing Manager,Marketing,5,2026-09-01,Medium,In Review
Technical Recruiter,G&A,3,2026-09-01,Medium,In Review
Data Analyst,Engineering,0,2026-09-30,Low,Not Posted
Senior Data Engineer,Engineering,0,2026-09-30,Low,Not Posted
