Title,Department,Hiring Manager,Priority,Target Start,Status
Senior Frontend Engineer,Engineering,Maya Chen,Critical,2026-05-01,Open
Data Analyst,Engineering,James Okafor,High,2026-05-15,Open
Product Marketing Manager,Marketing,Lisa Tran,Normal,2026-06-01,Open
Account Executive - Enterprise,Sales,Derek Hollins,Critical,2026-04-15,Open
HR Business Partner,People,Sandra Miles,High,2026-05-01,Open
DevOps Engineer,Engineering,Maya Chen,High,2026-06-01,Open
Financial Analyst,Finance,Brian Kowalski,Normal,2026-06-15,Open
Operations Coordinator,Operations,Priya Deshmukh,Normal,2026-07-01,On Hold
Senior Backend Engineer,Engineering,Maya Chen,Critical,2026-04-15,Open
Content Strategist,Marketing,Lisa Tran,Normal,2026-06-01,Filled
